Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"State v. Rizzo, 2002 WI 20.txt",1,2188,30.80,1.10,3.11,2.10,1.55,2.93,1.33,1.05,2.29,2.33
"United States v. Volpendesto, 755 F.3d 448.txt",1,303,21.78,2.31,3.96,1.32,2.64,3.30,1.32,0.66,2.31,3.96
"Casey K. v. St. Anne Cmty. High Sch. Dist. No. 302, 400 F.3d 508.txt",1,2604,30.11,1.34,3.07,1.96,0.81,1.57,0.92,1.38,2.73,2.15
"Reed v. Illinois, 808 F.3d 1103.txt",1,2145,26.90,1.68,2.61,2.05,1.31,2.05,1.68,1.21,3.40,2.05
"Santiago v. Walls, 599 F.3d 749.txt",1,3043,30.92,1.84,3.68,2.00,0.92,2.00,1.08,1.54,3.91,2.43
"Markadonatos v. Vill. Of Woodridge, 760 F.3d 545.txt",1,3917,27.78,2.17,1.89,1.51,1.35,2.25,1.48,1.07,2.30,2.88
"McCarthy v. Fuller, 810 F.3d 456.txt",1,1780,26.01,1.63,2.70,1.35,0.84,1.85,1.52,1.63,1.97,2.13
"R3 Composites Corp. v. G&S Sales Corp., 960 F.3d 935.txt",1,1277,27.64,1.49,1.33,2.11,1.10,2.43,1.72,0.63,2.82,2.90
"West Bend Mut. Ins. Co. v. United States Fid. & Guar. Co., 598 F.3d 918.txt",1,1481,31.33,1.22,2.77,3.71,0.47,3.11,2.09,1.49,3.38,4.32
"Watkins v. Trans Union, LLC, 869 F.3d 514.txt",1,3496,28.66,1.12,3.40,1.32,1.14,2.17,1.52,1.32,3.03,1.97
"State v. Piddington, 2001 WI 24.txt",1,1086,30.76,1.93,4.79,4.70,1.29,2.49,1.10,1.10,2.95,2.95
"Suesz v. Med-1 Solutions, LLC, 757 F.3d 636.txt",1,2937,24.65,1.26,2.42,1.46,0.82,2.89,1.60,1.19,2.79,2.42
"State v. Dunlap, 2002 WI 19.txt",1,587,32.71,2.21,2.39,2.39,0.68,2.73,1.02,0.68,1.53,2.90
"Herzog Transit Servs. v. United States RRB, 624 F.3d 467.txt",1,1632,29.35,1.72,2.02,1.78,0.98,1.96,1.35,1.41,3.25,3.37
"St. Joan Antida High Sch. Inc. v. Milwaukee Pub. Sch. Dist., 919 F.3d 1003.txt",1,4206,29.51,1.40,2.62,2.64,0.69,2.23,1.78,2.09,2.71,2.66
"Couvillion v. Speedway LLC, 673 Fed. Appx. 558.txt",1,954,27.46,0.94,5.03,2.94,3.56,3.46,1.89,1.99,1.99,3.88
"Office of Lawyer Regulation v. Brooks (In re Brooks), 2002 WI 32.txt",1,197,36.55,0.00,3.55,1.02,2.03,0.51,1.02,5.08,2.03,1.52
"Hardeman v. Curran, 933 F.3d 816.txt",1,1141,34.27,1.49,3.33,3.51,1.23,2.02,1.75,1.75,2.72,2.89
"United States v. Eymann, 962 F.3d 273.txt",1,305,20.98,0.33,3.93,2.62,0.33,2.30,1.31,0.66,3.61,1.97
"Suggs v. United States, 705 F.3d 279.txt",1,1865,27.67,1.18,2.25,1.82,1.23,1.88,0.97,1.07,2.90,3.27
"Mainstreet Org. of Realtors v. Calumet City, 505 F.3d 742.txt",1,2689,28.11,1.86,1.26,1.64,1.30,2.34,2.16,1.30,2.16,2.98
"Scott v. Savers Prop. & Cas. Ins. Co., 2003 WI 60.txt",1,966,28.05,1.04,0.83,1.86,0.41,2.90,2.90,0.41,3.31,1.86
"Tammie J.C. v. Robert T.R. (In re Thomas J.R.), 2003 WI 61.txt",1,3319,27.24,1.48,2.35,1.51,0.66,2.26,1.21,1.33,2.47,2.05
"Stephenson v. Universal Metrics, 2002 WI 30.txt",1,608,28.12,0.99,3.29,1.97,2.80,3.12,0.99,0.82,1.32,2.47
"Hunter v. Amin, 583 F.3d 486.txt",1,1179,31.38,2.21,3.05,2.63,1.44,1.10,1.53,2.37,2.71,1.78
"River of Life Kingdom Ministries v. Vill. of Hazel Crest, 611 F.3d 367.txt",1,7716,32.61,1.08,2.38,3.60,0.51,2.73,1.05,1.44,3.37,3.33
"United States v. Abair, 746 F.3d 260.txt",1,2688,27.34,1.41,5.25,2.75,1.04,2.49,1.86,1.49,2.98,2.60
"Fields v. Wharrie, 740 F.3d 1107.txt",1,4031,31.01,1.49,2.80,2.48,0.87,2.08,2.13,1.31,2.90,2.56
"State v. Knapp, 2003 WI 121.txt",1,1873,30.17,1.82,2.99,3.04,0.69,1.12,1.23,2.08,2.56,2.03
"Markadonatos v. Vill. of Woodridge, 739 F.3d 984.txt",1,600,29.33,2.17,1.50,2.67,1.33,2.17,1.33,0.17,3.17,3.00
"State v. Tucker, 2003 WI 12.txt",1,615,28.94,3.09,5.20,1.63,1.14,4.07,2.28,2.11,2.28,4.07
"Carlson v. United States, 837 F.3d 753.txt",1,2396,29.47,1.54,2.75,1.29,0.58,1.88,1.09,1.75,2.59,2.96
"Hatfield v. Barr, 925 F.3d 950.txt",1,910,26.37,1.65,3.52,2.64,0.88,1.98,2.42,1.65,3.74,1.87
"Johns v. Laidlaw Educ. Servs., 199 Fed. Appx. 568.txt",1,231,30.74,0.87,0.00,0.87,2.16,0.87,0.43,1.73,5.19,0.87
"State ex rel. Brown v. Bradley, 2003 WI 14.txt",1,1883,24.43,1.86,1.59,1.96,1.06,1.17,1.01,0.90,2.44,2.55
"United States v. O'Neill, 437 F.3d 654.txt",1,915,22.95,2.08,2.40,1.75,0.87,1.31,0.77,1.31,1.53,2.73
"Haywood v. Massage Envy Franchising, LLC, 887 F.3d 329.txt",1,2305,28.55,1.48,1.91,2.08,1.04,1.78,1.43,0.78,2.95,3.12
"Bankers Life & Cas. Ins. Co. v. CBRE, Inc., 830 F.3d 729.txt",1,1235,25.59,1.94,3.97,1.54,0.65,2.02,1.46,1.62,2.11,2.51
"State ex rel. Unnamed Person No. 1 v. State (In re Doe), 2003 WI 30.txt",1,4167,27.33,1.56,1.87,1.58,0.79,2.35,1.13,1.03,2.38,2.74
"Currie v. Paper Converting Mach. Co., 202 Fed. Appx. 120.txt",1,232,28.02,0.43,0.43,0.86,2.16,0.00,0.43,0.86,5.17,0.00
"Winkler v. Gates, 481 F.3d 977.txt",1,3020,29.37,1.36,1.59,1.03,0.89,2.15,0.96,1.72,3.15,2.55
